Account Name,Billing City,Billing State,Billing Country,latitude,longitude
Alpine Lodge & Spa,Whistler,British Columbia,Canada,50.1163,-122.9574
Cityscape Hotel,Chicago,Illinois,United States,41.8781,-87.6298
Coastal Haven Resort,Galle,Southern Province,Sri Lanka,6.0535,80.22
Grand Hotel Bellevue,New York,New York,United States,40.7128,-74.006
Grand Hotel Elysium,Paris,Alca-de-France,France,48.8566,2.3522
Jungle Retreat Hotel,Ella,Uva Province,Sri Lanka,6.867,81.0426
Lakeside Lodge,Seattle,Washington,United States,47.6062,-122.3321
Majestic Heritage Palace,Udaipur,Rajasthan,India,24.5854,73.7125
Mountain Retreat Resort,Asheville,North Carolina,United States,35.5951,-82.5515
Oceanfront Resort & Spa,Malibu,California,United States,34.0259,-118.7798
Paradise Beach Resort,Negombo,Western Province,Sri Lanka,7.2,79.8667
Royal Palace Hotel,Jaipur,Rajasthan,India,26.9124,75.7873
Seaside Resort & Spa,Miami,Florida,United States,25.7617,-80.1918
Serenity Resort & Spa,Goa,Goa,India,15.2993,74.124
Sunset Paradise Resort,Miami,Florida,United States,25.7617,-80.1918
Tropical Oasis Resort,Bali,Bali,Indonesia,-8.3405,115.092
